Maquina,Setor_Impacto,Conta_Disponibilidade
ESTEIRA DE ALIMENTAÇÃO DO HIDRAPULPER,PREPARO DE MASSA,True
HIDRAPULPER 1,PREPARO DE MASSA,True
DESCONTAMINADOR,PREPARO DE MASSA,True
BOMBA DE MASSA O HIDRAPULPER 1,PREPARO DE MASSA,True
CCM 1 (PREPARO DE MASSA),PREPARO DE MASSA,True
TRANSFORMADOR 1 (PREPARO DE MASSA),PREPARO DE MASSA,True
BOMBA DE ÁGUA DO DESCONTAMINADOR,PREPARO DE MASSA,True
REFINADOR 1,PREPARO DE MASSA,True
PENEIRA VIBRATÓRIA,PREPARO DE MASSA,True
TURBO SEPARADOR,PREPARO DE MASSA,True
DEPURADOR PRIMÁRIO (DPI),PREPARO DE MASSA,True
DEPURADOR HR 12 (FINE SCREEN-1° ESTÁGIO),PREPARO DE MASSA,True
DEPURADOR HR 18 (FINE SCREEN-2° ESTÁGIO),PREPARO DE MASSA,True
DEPURADOR HR 24 (FINE SCREEN-3° ESTÁGIO),PREPARO DE MASSA,True
BOMBA DE ÁGUA DE  DILUIÇÃO DO HR 18,PREPARO DE MASSA,True
BOMBA DE ÁGUA DE  DILUIÇÃO DO HR 12,PREPARO DE MASSA,True
1° ESTÁGIO DE CLEANER,PREPARO DE MASSA,True
2° ESTÁGIO DE CLEANER,PREPARO DE MASSA,True
BOMBA DE MASSA DO 2° ESTÁGIO DE CLEANER,PREPARO DE MASSA,True
SIDE HILL 1,PREPARO DE MASSA,True
SIDE HILL 2,PREPARO DE MASSA,True
PENEIRA ESTÁTICA DO REJEITO DO HR 12,PREPARO DE MASSA,True
TM 1 (TANQUE DE MASSA),OUTROS,True
TM 2 (TANQUE DE MASSA),OUTROS,True
TM 3 (TANQUE DE MASSA),OUTROS,True
TM 4 (TANQUE DE MASSA),OUTROS,True
TA 1 (TANQUE DE ÁGUA),OUTROS,True
TA 2 (TANQUE DE ÁGUA),OUTROS,True
AGITADOR DO TM 1,OUTROS,True
AGITADOR DO TM 2,OUTROS,True
AGITADOR DO TM 3,OUTROS,True
AGITADOR DO TM 4,OUTROS,True
CLEANER DE ALTA CONSISTÊNCIA (HD),PREPARO DE MASSA,True
BOMBA DE ÁGUA DO POÇO ARTESIANO,OUTROS,True
BOMBA DE ÁGUA DE COMBATE A INCÊNDIO 1,OUTROS,True
BOMBA DE ÁGUA DE COMBATE A INCÊNDIO 2,OUTROS,True
BOMBA DE ÁGUA DE COMBATE A INCÊNDIO 3,OUTROS,True
BOMDA DE ÁGUA DE ALIMENTAÇÃO DO PREPARO DE MASSA,PREPARO DE MASSA,True
BOMBA DE MASSA DO 1° ESTÁGIO DO CLEANER,PREPARO DE MASSA,True
BOMBA DE ÁGUA DE DILUIÇÃO DO FINE SCREEN,PREPARO DE MASSA,True
BOMBA DE ÁGUA DE LIMPEZA,PREPARO DE MASSA,True
BOMBA DE ÁGUA DE ELUTRIAÇÃO DOS CLEANERS,PREPARO DE MASSA,True
BOMBA DE ÁGUA DO HIDRAPULPER 2/SILO,PREPARO DE MASSA,True
BOMBA DE ÁGUA DO CONTROLE DE CONSISTÊNCIA,PREPARO DE MASSA,True
BOMBA DE MASSA DO TANQUE 2 (REFINADOR),PREPARO DE MASSA,True
BOMBA DE MASSA DE TRANSBORDO CANALETA 1,PREPARO DE MASSA,True
BOMBA DE MASSA DE TRANSBORDO CANALETA 2,PREPARO DE MASSA,True
BOMBA DE MASSA DO TM 1,PREPARO DE MASSA,True
BOMBA DE MASSA DO TM 3,PREPARO DE MASSA,True
BOMBA DE MASSA DO TM 4 (GRAMATURA),PREPARO DE MASSA,True
ROSCA DE REJEITO DE AREIA,OUTROS,True
BOMBA DO SEPARADOR DE VÁCUO PK,MÁQUINA DE PAPEL,True
BOMBA DE VÁCUO 1 (MESA PLANA),MÁQUINA DE PAPEL,True
BOMBA DE VÁCUO 2 (ROLO DE SUCÇÃO),MÁQUINA DE PAPEL,True
BOMBA DE VÁCUO 3 (FELTRO),MÁQUINA DE PAPEL,True
BOMBA DE VÁCUO 4 (FELTRO),MÁQUINA DE PAPEL,True
MÁQUINA DE PAPEL,MÁQUINA DE PAPEL,True
UNIDADE HIDRÁULICA DAS PRENSAS,MÁQUINA DE PAPEL,True
VENTILADOR DE BAIXO VÁCUO (ROLO PICADO),MÁQUINA DE PAPEL,True
EXAUSTOR DO FILTRO DE MANGA,OUTROS,True
CCM 2 (MÁQUINA DE PAPEL),MÁQUINA DE PAPEL,True
QGBT,MÁQUINA DE PAPEL,True
TRANSFORMADOR 2,MÁQUINA DE PAPEL,True
COMPRESSOR DE PARAFUSO 1,OUTROS,True
COMPRESSOR DE PARAFUSO 2,OUTROS,True
PICADOR DE REFILE DA REBOBINADEIRA,MÁQUINA DE PAPEL,True
BOMBA DE MISTURA,MÁQUINA DE PAPEL,True
BOMBA DE SELAGEM DO VÁCUO,MÁQUINA DE PAPEL,True
EXAUSTOR DE BAIXO VÁCUO DA MESA,MÁQUINA DE PAPEL,True
DEPURADOR CABEÇA DE MÁQUINA (HR 24),MÁQUINA DE PAPEL,True
BOMBA DO WIREPIT,MÁQUINA DE PAPEL,True
BOMBA DO COUCHPIT,MÁQUINA DE PAPEL,True
AGITADOR DO COUCHPIT,OUTROS,True
ATENUADOR DE PULSAÇÃO,MÁQUINA DE PAPEL,True
CAIXA DE ENTRADA DA MESA PLANA,MÁQUINA DE PAPEL,True
CHUVEIRO OSCILADOR,MÁQUINA DE PAPEL,True
ROLO CABECEIRA,MÁQUINA DE PAPEL,True
ROLO DE SUCÇÃO,MÁQUINA DE PAPEL,True
ROLO ACIONADOR,MÁQUINA DE PAPEL,True
ROLO RASPADOR,MÁQUINA DE PAPEL,True
1° PRENSA,MÁQUINA DE PAPEL,True
2° PRENSA,MÁQUINA DE PAPEL,True
CHUVEIRO OSCILADOR DO FILTRO TANDEM,MÁQUINA DE PAPEL,True
CHUVEIRO OSCILADOR DA 1° PRENSA,MÁQUINA DE PAPEL,True
CHUVEIRO OSCILADOR DA 2° PRENSA,MÁQUINA DE PAPEL,True
ROLO PICKUP,MÁQUINA DE PAPEL,True
CILINDRO SECADOR BABY,MÁQUINA DE PAPEL,True
ESTICADOR DE CORDA DO 1° GRUPO,MÁQUINA DE PAPEL,True
RASPAS DST 1,MÁQUINA DE PAPEL,True
RASPAS DST 2,MÁQUINA DE PAPEL,True
RASPAS DST 3,MÁQUINA DE PAPEL,True
ESTICADOR DE CORDA DO 2° GRUPO,MÁQUINA DE PAPEL,True
ESTICADOR DE CORDA DO 3° GRUPO,MÁQUINA DE PAPEL,True
UNIDADE HIDRÁULICA DA SECAGEM,MÁQUINA DE PAPEL,True
TANQUE SEPARADOR DO CONDENSADO DO 1° GRUPO,MÁQUINA DE PAPEL,True
BOMBA DO BICO DE CORTE,MÁQUINA DE PAPEL,True
BOMBA DO CHUVEIRO OSCILADOR,MÁQUINA DE PAPEL,True
CAVALETE DE CONTROLE DO 1° GRUPO,OUTROS,True
CAVALETE DE CONTROLE DO 2° GRUPO,OUTROS,True
CAVALETE DE CONTROLE DO 3° GRUPO,OUTROS,True
COLETOR DE DISTRIBUIÇÃO DE VAPOR,OUTROS,True
ENROLADEIRA,MÁQUINA DE PAPEL,True
MONOVIA,MÁQUINA DE PAPEL,True
HIDRAPULPER 2,OUTROS,True
BOMBA DE MASSA DO HIDRAPULPER 2,PREPARO DE MASSA,True
FILTRO SEPARADOR DE REFILE,OUTROS,True
CORTADOR DE TUBETE,OUTROS,True
DESENROLADEIRA,MÁQUINA DE PAPEL,True
REBOBINADEIRA,MÁQUINA DE PAPEL,True
LAVA BOTAS,OUTROS,True
BALANÇA 1,OUTROS,True
BALANÇA RODOVIÁRIA,OUTROS,True
ROTA DE INSPEÇÃO 1,OUTROS,False
ROTA DE INSPEÇÃO 2,OUTROS,False
ROTA DE INSPEÇÃO 3,OUTROS,False
ROTA DE INSPEÇÃO 4,OUTROS,False
ROTA DE INSPEÇÃO 5,OUTROS,False
ROTA DE INSPEÇÃO 6,OUTROS,False
ROTA DE INSPEÇÃO 7,OUTROS,False
ROTA DE INSPEÇÃO 8,OUTROS,False
ROTA DE INSPEÇÃO 9,OUTROS,False
ROTA DE INSPEÇÃO 10,OUTROS,False
ROTA DE INSPEÇÃO 11,OUTROS,False
ROTA DE INSPEÇÃO 12,OUTROS,False
ROTA DE LUBRIFICAÇÃO,OUTROS,False
UTILIDADES,OUTROS,False
ONDULADEIRA,ONDULADEIRA,True
ROTA DE INSPEÇÃO DOS PAINÉIS,OUTROS,False
INSPEÇÃO VISUAL,OUTROS,False
CALDEIRA NOVA,CALDEIRA,True
CALDEIRA VELHA,CALDEIRA,False
BOMBA DA CANALETA 1,OUTROS,True
UNIDADE HIDRÁULICA PRENSA PRINCIPAL,MÁQUINA DE PAPEL,True
BOMBA DE VÁCUO 4,MÁQUINA DE PAPEL,True
UNIDADE DE LUBRIFICAÇÃO DA SECAGEM,MÁQUINA DE PAPEL,True
BOMBA DA CANAETA 1,OUTROS,True
DEPURADOR PRIMÁRIO,PREPARO DE MASSA,False
DEPURADOR CDM,MÁQUINA DE PAPEL,False
UNIDADE HIDRÁULICA DA PRENSA RESERVA,OUTROS,True
SETOR PREPARO DE MASSA,OUTROS,True
SETOR ONDULADEIRA,ONDULADEIRA,True
SETOR MANUTENÇÃO,OUTROS,True
SETOR PÁTIO,OUTROS,True
