Peca,Vida_Util_Dias
ROLAMENTO NU310,365
ROLAMENTO 3310,365
ROLAMENTO 6207,365
ROLAMENTO 22315 EAE C3,365
ROLAMENTO 22318 EJW C3,365
CORREIA C70,365
CORREIA 5V 1500,365
RETENTOR 110X130X13,365
DISCO DO REFINADOR,365
FACA DE ONDULADEIRA,365
ROLAMENTO 23222,365
MOTOR GENÃ‰RICO,365
CORREIA 5V 1250,365
CORREIA LISA 70X1700,365
BUCHA INOX 179X60,365
ROLAMENTO 6205,365
ROLAMENTO 6001,365
ROLAMENTO 6303,365
CORREIA C156,365
ROLAMENTO 22216,365
BUCHA H316,365
CORREIA C100,365
CORREIA 270H,365
CORREIA B60,365
CORREIA 131,365
CORREIA B158,365
CORREIA 5V 1060,
